,all_reviews,release_date,developer,game_details,languages,achievements,genre,mature_content,original_price
9992,90,"Dec 1, 2017",Yet Another Game Studio,"Single-player,Steam Achievements","['English', 'Simplified Chinese']",11.0,Indie,,1.99
9993,86,"Mar 23, 2018",Phr00t's Software,"Single-player,Steam Achievements,Steam Cloud",['English'],10.0,"Action,Indie,RPG",,8.99
9995,100,"Nov 21, 2017","KirUn,algamedev,Alexander M","Single-player,Steam Achievements,Steam Cloud","['English', 'French', 'German', 'Portuguese - Brazil', 'Simplified Chinese', 'Korean', 'Polish', 'Russian', 'Finnish', 'Swedish', 'Japanese']",27.0,"Casual,Indie",,2.99
9998,100,"Nov 16, 2017","Blackmill Games,M2H","Multi-player,Online Multi-Player,Online Co-op,Downloadable Content,Steam Cloud",['English'],,"Action,Indie,Strategy"," Mature Content Description  The developers describe the content like this:  This DLC may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",4.99
9999,95,"Jan 23, 2018",Triggered Studios,"Single-player,Partial Controller Support",['English'],,"Action,Adventure,Indie",,0
10003,100,"Jul 21, 2018",Koruka,"Single-player,Steam Achievements,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Greek', 'Danish', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']",100.0,"Casual,Indie",,0.99
10006,92,"Dec 3, 2018","64k,BARCHboi","Single-player,Steam Workshop,Partial Controller Support,Includes level editor,Commentary available,Profile Features Limited 
									",['English'],,"Action,Free to Play,Indie,RPG,Early Access",,0
10009,100,"Jun 15, 2018",Beatrice,"Single-player,Steam Achievements,Profile Features Limited 
									",['English'],6.0,"Casual,Indie,RPG",,0
10014,90,"Sep 11, 2018",Forester Games,"Single-player,Steam Achievements,Profile Features Limited 
									","['English', 'German', 'Simplified Chinese', 'French']",12.0,"Adventure,Indie",,1.99
10030,81,"Dec 20, 2017",Laush Dmitriy Sergeevich,"Single-player,Steam Achievements",['English'],35.0,"Casual,Indie",,4.99
10034,92,"Dec 19, 2017",bc likes you,"Single-player,Steam Achievements,Partial Controller Support",['English'],16.0,Adventure,,4.99
10046,89,"Nov 27, 2017",Chris Danelon,Single-player,['English'],,"Action,Free to Play,Indie",,0
10047,100,"Aug 30, 2018",Zudenan Digital,"Single-player,Multi-player,Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Profile Features Limited 
									","['English', 'French', 'German', 'Turkish']",33.0,"Action,Indie",,6.99
10052,82,"Jul 27, 2018",Aurox Studios,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Stats,Steam Leaderboards,Profile Features Limited 
									",['English'],5.0,"Action,Indie,Strategy,Early Access",,12.99
10054,90,"May 24, 2018",GEOMETRIC BYTES,Single-player,"['English', 'Spanish - Spain']",,"Action,Adventure,Indie,RPG,Early Access",,11.99
10061,100,"Feb 28, 2018",Marcin Skierski,"Single-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Leaderboards",['English'],6.0,"Action,Adventure,Indie",,1.99
10062,97,"Feb 16, 2018",Totally Normal Creature,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards",['English'],129.0,Indie,,1.99
10063,100,"Feb 26, 2018",Abdullah Firat,"Single-player,Steam Achievements","['English', 'Turkish', 'Simplified Chinese']",20.0,"Casual,Indie,Strategy",,2.99
10065,91,"Feb 22, 2018",Bryan Tabor,"Single-player,Steam Achievements,Full controller support",['English'],12.0,"Action,Adventure,Indie",,2.99
10066,80,"Jan 11, 2019",Fire Cycle Games,Single-player,['English'],30.0,"Casual,Indie,RPG,Simulation",,9.99
10067,95,"Dec 17, 2018",sky-coding,"Single-player,Profile Features Limited 
									",['English'],9.0,"Action,Casual,Free to Play,Indie",,0 To Play
10069,88,"Jan 17, 2018",EHTechnology,"Single-player,Steam Achievements,Full controller support","['English', 'Russian']",11.0,"Action,Adventure,Indie",,0.99
10070,100,"Feb 17, 2018",12 to 6 Studios LLC,"Single-player,Multi-player,Local Multi-Player,Partial Controller Support",['English'],,"Action,Casual,Indie",,4.99
10071,85,"Oct 26, 2018",Render Cube,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Partial Controller Support,Profile Features Limited 
									","['English', 'Spanish - Spain', 'Portuguese', 'Russian', 'Polish', 'French', 'Italian', 'German', 'Simplified Chinese']",,"Casual,Indie,Racing,Sports,Early Access",,15.99
10072,82,"May 1, 2019",Cody Penn,"Single-player,Steam is learning about this game 
									",['English'],1.0,"Action,Adventure,Indie,Early Access", Mature Content Description  The developers describe the content like this:  Contains: Pixel Blood  ,4.99
10073,87,"May 27, 2019",Eric Schafenberg,"Single-player,Captions available",['English'],,"Action,Adventure,Free to Play", Mature Content Description  The developers describe the content like this:  violence  ,0
10074,94,"Apr 23, 2019",Ольга,"Single-player,Steam Achievements,Steam is learning about this game 
									","['English', 'Russian']",47.0,"Action,Indie,RPG,Simulation,Early Access",,0.99
10076,100,"Mar 19, 2019",Digital Extremes,"Single-player,Multi-player,Co-op,Downloadable Content,Steam Trading Cards,In-App Purchases,Partial Controller Support","['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Turkish', 'Ukrainian']",,"Action,Free to Play"," Mature Content Description  The developers describe the content like this:  Warframe is an action game focusing on combat that includes violence, blood and gore.  ",24.99
10077,100,"Mar 19, 2019","Pinokl Games,Kverta,Hologryph","Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'Polish', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Simplified Chinese', 'Korean', 'Japanese', 'Russian']",,"Action,Adventure,Indie,Simulation,Strategy"," Mature Content Description  The developers describe the content like this:  References to drugs, sex. Cartoon violence.  ",6.99
10081,82,"Aug 2, 2018",Bmc Studio,"Single-player,Profile Features Limited 
									",['English'],,"Action,Adventure,Indie,RPG,Strategy",,36.87
10084,82,"Aug 8, 2018","EYEJAM STUDIOS,Damien Sueur","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Stats,Profile Features Limited 
									","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",12.0,"Action,Adventure,Casual,Indie",,4.99
10087,97,"Sep 19, 2018",spleen,"Multi-player,Online Multi-Player,Downloadable Content,Profile Features Limited 
									",['English'],,"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Strategy",,4.99
10088,84,"Apr 4, 2019",Curious Visions,"Single-player,Profile Features Limited 
									",['English'],,"Action,Casual,Indie",,4.99
10091,81,"Feb 8, 2019",Denormalizer,"Single-player,Steam Achievements,Profile Features Limited 
									",['English'],38.0,"Action,Adventure,Indie", Mature Content Description  The developers describe the content like this:  Game contains graphic violence and gore.  ,14.99
10092,100,"Apr 7, 2018",Blackcross & Taylor,Single-player,['English'],,"Indie,Simulation",,9.50
10093,82,"Nov 30, 2018",DarkStone Digital,"Single-player,Steam Achievements,Partial Controller Support,Profile Features Limited 
									",['English'],25.0,"Adventure,Indie",,4.99
10099,81,"Nov 13, 2017",Rocket Monster Games,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats","['English', 'German', 'Russian']",15.0,"Adventure,Casual,Indie,Strategy",,0.99
10103,100,"Nov 1, 2017",Goblin Council,Single-player,['English'],,Indie,,3.99
10107,89,"Oct 27, 2017",Runner Duck,"Single-player,Downloadable Content,Steam Achievements,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Polish', 'Japanese', 'Korean', 'Simplified Chinese']",,"Simulation,Strategy",,1.99
10108,100,"Nov 17, 2017",34BigThings srl,"Single-player,Multi-player,Online Multi-Player,Shared/Split Screen,Downloadable Content,Steam Achievements,Full controller support,Steam Cloud","['English', 'Italian', 'Spanish - Spain', 'French', 'German', 'Russian', 'Portuguese - Brazil', 'Simplified Chinese', 'Japanese', 'Korean']",,Racing,,9.99
10146,87,"Apr 20, 2018",Nick Page,"Single-player,Steam Achievements",['English'],5.0,Indie,,0
10149,88,"Apr 20, 2018",Pilgrim Adventures,"Single-player,Steam Achievements,Full controller support",['English'],18.0,"Adventure,Indie",,27.88
10152,80,"Apr 26, 2018",Casual.US,"Single-player,Steam Achievements",['English'],4979.0,"Casual,Indie,Simulation",,110.61
10153,90,"May 10, 2018",Red Dolphin Games,"Single-player,Steam Achievements",['English'],5000.0,"Casual,Indie,Strategy",,624.74
10156,100,"May 29, 2018",Unrea,"Single-player,Multi-player,Local Multi-Player,Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Includes level editor",['English'],196.0,"Action,Indie,Early Access",,2.99
10158,93,"May 3, 2018",Mighty Games,"Single-player,Downloadable Content,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese']",,"Action,Free to Play,Indie",,0
10160,100,"Jun 5, 2018",Digital Confectioners,"Single-player,Multi-player,Online Multi-Player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards,Includes level editor","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Turkish', 'Japanese', 'Korean', 'Simplified Chinese']",,"Action,Indie"," Mature Content Description  The developers describe the content like this:  This DLC may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",5.99
10167,92,"Jan 28, 2018",G. Malta,"Single-player,Steam Achievements",['English'],5000.0,"Casual,Indie,Simulation",,0.99
10171,94,"Jan 11, 2018",MyACG Studio,"Single-player,Downloadable Content,Steam Achievements,Partial Controller Support,Steam Cloud","['English', 'Simplified Chinese', 'Japanese']",,"Action,Adventure,Indie,RPG",,0.99
10172,97,"Jan 25, 2018",MyACG Studio,"Single-player,Downloadable Content,Steam Achievements,Partial Controller Support,Steam Cloud","['English', 'Simplified Chinese', 'Japanese']",,"Action,Adventure,Indie,RPG",,1.99
10174,85,"Oct 9, 2018",George Constantinou,"Single-player,Profile Features Limited 
									",['English'],,"Adventure,Indie",,2.99
10178,100,"Jun 21, 2018",ChiHeBang Studio,"Single-player,Full controller support,Profile Features Limited 
									","['English', 'Simplified Chinese']",,"Action,Adventure,Indie,Racing,Early Access",,3.99
10182,90,"Jan 12, 2018",CelleC Games,Single-player,['English'],,"Adventure,Casual,Free to Play,Indie",,0
10197,82,"Apr 24, 2018",KevinTheWolfy,"Single-player,Steam Achievements",['English'],15.0,"Adventure,Casual,Free to Play,Indie,Strategy,Early Access",,0 To Play
10198,81,"Feb 20, 2018",Red twice potato,"Single-player,Steam Achievements",['English'],10.0,"Action,Adventure,Casual,Indie",,1.99
10205,94,"Jan 30, 2018",Yfrit Games,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Includes level editor","['English', 'Portuguese', 'Portuguese - Brazil']",37.0,"Adventure,Casual,Indie",,3.99
10206,90,"Nov 21, 2017",CarX Technologies,"Single-player,Multi-player,Online Multi-Player,Downloadable Content,Steam Achievements,Steam Trading Cards,Partial Controller Support,Profile Features Limited 
									","['English', 'Russian']",,"Massively Multiplayer,Racing,Simulation,Sports",,2.99
10207,93,"Oct 20, 2017",SOFF Games,"Single-player,Multi-player,Online Multi-Player,Downloadable Content,Steam Achievements","['English', 'Russian']",,"Action,Indie,RPG",,0.99
10211,83,"Oct 10, 2017",Recreat4,Single-player,['English'],,"Indie,Simulation,Strategy",,3.99
10215,100,"Feb 2, 2018",Gigafun Ltd,"Single-player,Steam Leaderboards","['English', 'Turkish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Finnish', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",,"Action,Indie",,0.99
10223,80,"Mar 6, 2019",Megamini009,"Single-player,Profile Features Limited 
									",['English'],,"Casual,Indie",,1.99
10228,83,"Dec 13, 2012",Tripwire Interactive,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Valve Anti-Cheat enabled,Stats,Includes level editor",['English'],,Action,,7.99
10244,87,"Jul 16, 2018",BGIXED,"Single-player,Profile Features Limited 
									","['English', 'Russian']",20.0,"Adventure,Indie",,5.99
10245,81,"Jun 22, 2018",CSM,"Single-player,Steam Achievements,Profile Features Limited 
									",['English'],13.0,"Casual,Indie",,0.99
10247,90,"Jun 22, 2018",CSM,"Single-player,Steam Achievements,Profile Features Limited 
									",['English'],10.0,"Casual,Indie",,30.73
10253,84,"Sep 4, 2018",P.S.B (iNsOoL,"Single-player,Profile Features Limited 
									","['English', 'Japanese', 'Simplified Chinese']",1.0,"Action,Casual,Indie",,0.99
10255,97,"May 11, 2018","What Pumpkin Games, Inc","Single-player,Downloadable Content,Profile Features Limited 
									",['English'],,"Adventure,Casual,Indie,RPG,Simulation"," Mature Content Description  The developers describe the content like this:  This DLC may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",0.99
10260,95,"Jul 13, 2018",vSpatial Inc,"Profile Features Limited 
									",['English'],,"Utilities,Early Access",,0 To Play
10261,95,"Mar 1, 2019",Marina Hova,"Single-player,Full controller support,Profile Features Limited 
									",['English'],15.0,"Action,Adventure,Indie"," Mature Content Description  The developers describe the content like this:  This game contains depictions of alcohol abuse, physical abuse, mental  and physical illnesses.  ",9.99
10262,84,"May 28, 2018",Parmenion Games,Single-player,"['English', 'Russian', 'Ukrainian']",,"Adventure,Casual,Indie",,0.99
10265,83,"May 17, 2018",Ripknot Systems,"Single-player,Steam Achievements",['English'],5000.0,"Action,Casual,Simulation",,9.99
10272,83,"Nov 16, 2017",AMPLITUDE Studios,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",,Strategy,,0
10280,52,"May 17, 2012",Positech Games,"Single-player,Steam Achievements,Steam Cloud",['English'],24.0,"Indie,Simulation,Strategy",,9.99
10288,100,"Aug 1, 2012","Gaslamp Games, Inc","Single-player,Downloadable Content",['English'],,"Adventure,Casual,Indie,RPG",,2.99
10290,85,"Jun 12, 2012",Volition,"Single-player,Co-op,Downloadable Content,Steam Achievements,Partial Controller Support,Steam Cloud","['English', 'Czech', 'Dutch', 'French', 'German', 'Italian', 'Polish', 'Russian', 'Spanish - Spain']",,Action," Mature Content Description  The developers describe the content like this:  This DLC may contain content not appropriate for all ages, or may not be appropriate for viewing at work: General Mature Content  ",2.99
10291,90,"May 31, 2012",Dovetail Games,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards",['English'],,Simulation,,3.99
10295,84,"Oct 25, 2012",Tequila Works SL,"Downloadable Content,Profile Features Limited 
									",['English'],,Indie,,6.99
10297,92,"Feb 27, 2013",Star Gem Inc,"Multi-player,MMO,Downloadable Content,Partial Controller Support","['English', 'German', 'French', 'Spanish - Spain', 'Russian', 'Portuguese', 'Portuguese - Brazil']",,"Action,Free to Play,Massively Multiplayer,Simulation",,19.99
10302,100,"Dec 19, 2018",Mark Begenisich,"Single-player,Steam Achievements,Steam Cloud,Profile Features Limited 
									",['English'],15.0,"Indie,Strategy,Early Access",,14.99
10304,80,"Oct 19, 2012",Dovetail Games,"Single-player,Downloadable Content,Steam Achievements,Partial Controller Support,Steam Cloud,Steam Leaderboards",['English'],,Simulation,,7.99
10312,88,"Apr 27, 2018",For Kids,"Single-player,Steam Achievements",['English'],44.0,"Action,Casual,Indie,Racing",,1.99
10321,96,"May 14, 2018",0Cube,"Single-player,Partial Controller Support","['English', 'Simplified Chinese']",,"Adventure,Casual,Indie,RPG,Simulation,Strategy",,2.99
10334,92,"Apr 12, 2018",Oxana,"Single-player,Steam Achievements",['English'],20.0,"Adventure,Casual,Indie,Simulation",,2.99
10335,100,"Mar 7, 2018",BGIXED,"Single-player,Steam Achievements","['English', 'Russian']",22.0,"Action,Adventure,Indie",,1.99
10339,93,"Dec 20, 2018",Ayman Isam Alketbi,"Single-player,Multi-player,Online Multi-Player,Profile Features Limited 
									","['English', 'Korean']",,Indie, Mature Content Description  The developers describe the content like this:  This game contains a lot of jump scares.  ,3.99
10340,81,"Dec 7, 2018",betamaximus-128,"Online Multi-Player,Steam Leaderboards,Profile Features Limited 
									",['English'],,Strategy,,0
10364,90,"Feb 8, 2019",Edym Pixels,"Single-player,Downloadable Content,Steam Achievements,Profile Features Limited 
									",['English'],,"Indie,Strategy"," Mature Content Description  The developers describe the content like this:  Contains pixel art graphic violence, such as blood and gore. Also contains random generated names which may on occasion contain sexual language.  ",1.99
10372,96,,Alkemi,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Czech', 'Polish', 'Russian']",35.0,"Action,Casual,Indie",,7.99
10380,92,"Aug 1, 2012",Ronimo Games,"Single-player,Multi-player,Co-op,Shared/Split Screen,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Steam Leaderboards","['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Dutch', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",,"Action,Indie,Strategy",,2.99
10383,88,"Mar 28, 2018",Vdevelopers,"Single-player,Steam Achievements",['English'],42.0,"Adventure,Casual,Indie,Simulation",,0.99
10386,92,"Aug 27, 2018",Rebellion,"Single-player,Online Co-op,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",,"Action,Adventure"," Mature Content Description  The developers describe the content like this:  This DLC may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",3.99
10395,90,"Oct 22, 2018","IDEA FACTORY,IDEA FACTORY","Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'Japanese', 'Traditional Chinese']",,"Action,RPG"," Mature Content Description  The developers describe the content like this:  This DLC may contain content not appropriate for all ages, or may not be appropriate for viewing at work: General Mature Content  ",9.99
10397,90,"May 17, 2018",Hosted Games,"Single-player,Steam Achievements,Captions available,Steam Cloud",['English'],36.0,"Adventure,Indie,RPG",,4.99
10403,100,"Jul 6, 2018",Nick Cellini,"Single-player,Steam Cloud,Profile Features Limited 
									","['English', 'Simplified Chinese']",,"Casual,Indie",,3.99
10405,100,"Oct 4, 2018","CAPCOM Co., Ltd","Single-player,Multi-player,Co-op,Downloadable Content,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Arabic']",,Action,,3.99
10410,81,"Nov 4, 2017",Frolov Pavel,"Single-player,Steam Achievements",['English'],9.0,"Casual,Indie",,0.99
10413,90,"Dec 14, 2017",Buried Signal,"Single-player,Downloadable Content","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Italian', 'Korean']",,"Adventure,Casual,Indie",,3.99
10415,90,"Mar 15, 2019",3Division,"Single-player,Downloadable Content",['English'],,"Indie,Simulation,Strategy",,2.99
10418,90,"Apr 22, 2019",The Snarktopus,"Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam is learning about this downloadable content 
									","['English', 'Russian', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Spain', 'Spanish - Latin America']",,"Action,Casual,Indie,Simulation,Strategy",,0.99
10422,88,"Feb 4, 2019",Will deManbey,"Single-player,Steam Achievements,Profile Features Limited 
									",['English'],8.0,Casual,,0.99
10423,83,"Apr 30, 2018",CSM,"Single-player,Steam Achievements","['English', 'Russian']",33.0,"Casual,Indie,Sports",,30.73
10426,86,"Mar 20, 2018",Snkl Studio,"Single-player,Steam Achievements","['English', 'Russian']",215.0,"Casual,Indie",,4.95
10427,95,"Apr 26, 2018","Nikita ""Ghost_RUS","Single-player,Steam Achievements","['English', 'Russian']",6.0,"Adventure,Casual,Indie",,96.28
10429,91,"Apr 9, 2018",Digital Confectioners,"Single-player,Multi-player,Online Multi-Player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards,Includes level editor","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Turkish', 'Japanese', 'Korean', 'Simplified Chinese']",,"Action,Indie"," Mature Content Description  The developers describe the content like this:  This DLC may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",5.99
10435,100,"Oct 31, 2017",Digital Confectioners,"Single-player,Multi-player,Online Multi-Player,Downloadable Content,Full controller support,Valve Anti-Cheat enabled","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Turkish', 'Japanese', 'Korean', 'Simplified Chinese']",,"Action,Indie"," Mature Content Description  The developers describe the content like this:  This DLC may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",5.99
10444,83,"Mar 25, 2018",Easy game,"Single-player,Steam Achievements",['English'],754.0,"Adventure,Casual,Indie",,0.99
10466,85,"Sep 28, 2018","What Pumpkin Games, Inc","Single-player,Downloadable Content,Profile Features Limited 
									",['English'],,"Adventure,Casual,Indie,RPG,Simulation"," Mature Content Description  The developers describe the content like this:  Violence: There is a character death in one story. Both stories in this volume also include an assassination attempt, as well as mentions of torture.  Sex: There is a suggestive line about being ""quick with your fingers,"" but nothing beyond that.  ",0.99
10467,100,"Nov 15, 2018",Kremlingames,"Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Profile Features Limited 
									","['English', 'Russian']",,"Indie,Simulation,Strategy",,2.99
10474,100,"Jun 1, 2018",Light Bringer Games inc,"Single-player,Steam Achievements,Steam Cloud,Stats","['English', 'French', 'German', 'Russian']",32.0,"Casual,Indie,Strategy",,4.99
10479,88,"Apr 25, 2018",HELYEES,"Single-player,Steam Achievements",['English'],5.0,"Adventure,Casual,Indie",,0 to Play
10485,86,"Apr 10, 2018",Zen Chess Club,"Single-player,Steam Achievements",['English'],30.0,Casual,,0.99
10488,100,"Dec 21, 2018",Gronzragüer Games,"Single-player,Full controller support,Profile Features Limited 
									",['English'],,"Action,Indie"," Mature Content Description  The developers describe the content like this:  This game contains strong language, blood, dismemberment, enemy dogs can be killed and there is a censored sex scene.  ",Demo
10499,100,"Apr 9, 2019",Adaptive Game,"Single-player,Partial Controller Support",['English'],,"Action,Adventure,Casual,Indie",,6.99
10500,80,"Dec 29, 2016",Anti-Ded GameDev,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Partial Controller Support","['English', 'French', 'German', 'Russian']",4.0,"Indie,Massively Multiplayer",,0.99
10501,100,"Jun 6, 2018",Google Inc,Single-player,['English'],,"Adventure,Free to Play",,0
10502,100,"Jun 6, 2018",Google Inc,Single-player,['English'],,"Adventure,Free to Play",,0
10506,81,"Dec 12, 2017",Kaan Bukusoglu,Single-player,['English'],,"Action,Casual,Free to Play,Indie",,0 To Play
10507,81,"Dec 17, 2017",Pinta Studios,Single-player,"['English', 'Simplified Chinese']",,"Casual,Indie",,1.99
10516,81,"Nov 1, 2017",Derpy Dinos,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards",['English'],26.0,"Action,Casual,Free to Play,Indie",,0 To Play
10519,91,"Nov 3, 2017",Best Friend Games,"Single-player,Steam Achievements","['English', 'French', 'German', 'Russian', 'Ukrainian', 'Japanese']",14.0,"Casual,Indie",,4.99
10522,84,"Dec 18, 2017",Scourgey Works,Single-player,['English'],,"Action,Adventure,Free to Play,RPG,Early Access",,0
10523,94,"Oct 12, 2017",empty assembly,"Single-player,Steam Achievements,Full controller support",['English'],9.0,"Action,Indie",,1.99
10527,85,"Nov 5, 2017",Serkan Bakar,"Single-player,Steam Achievements,Full controller support","['English', 'German', 'Spanish - Spain', 'Turkish']",6.0,"Action,Adventure,Casual,Indie",,7.99
10529,83,"Feb 5, 2018",Evil Objective,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards",['English'],62.0,"Action,Adventure,Indie",,0.99
10530,100,"Dec 7, 2017",Aleksandar Kuzmanovic Games,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards",['English'],15.0,"Action,Indie,Strategy",,0.99
10531,100,"Mar 26, 2019",Marvelous Inc,"Single-player,Online Multi-Player,Downloadable Content,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","['English', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",,Action,,1.99
10533,81,"Jul 18, 2018",Abrakam SA,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Downloadable Content,Steam Trading Cards,In-App Purchases","['English', 'French', 'German', 'Spanish - Spain', 'Portuguese', 'Russian', 'Portuguese - Brazil', 'Italian', 'Japanese', 'Korean', 'Traditional Chinese', 'Simplified Chinese']",,"Indie,Massively Multiplayer,Strategy",,13.99
10539,100,"Aug 16, 2018","朵游社,Fantasia Studio","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Profile Features Limited 
									","['English', 'Simplified Chinese']",23.0,"Adventure,Indie",,1.99
10545,85,"Oct 22, 2017",Australian Broadcasting Corporation,Single-player,['English'],,"Free to Play,Simulation",,0 To Play
10547,94,"Jun 16, 2018",Kastrye,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Profile Features Limited 
									",['English'],22.0,"Action,Casual,Indie",,0.99
10548,86,"Nov 10, 2017",Bizzy,Single-player,['English'],,"Action,Adventure,Indie",,3.99
10562,81,"Nov 16, 2018",Alex Varvoid,"Multi-player,Online Multi-Player,Profile Features Limited 
									","['English', 'Russian']",,"Action,Casual,Indie,Massively Multiplayer,Early Access",,0.99
10563,94,"Dec 7, 2018",Crankage Games,"Single-player,Full controller support,Profile Features Limited 
									",['English'],,Indie,,0.99
10576,94,"Oct 31, 2017",Rabbit Hole Studios,Single-player,['English'],4.0,"Action,Adventure,Indie,Early Access",,2.99
10580,100,"Jun 15, 2018",Star Legion,"Single-player,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards","['English', 'Russian', 'Ukrainian']",129.0,"Adventure,Casual,Indie,Sports",,1.99
10581,83,"Sep 25, 2018",MyACG Studio,"Single-player,Multi-player,Online Multi-Player,Downloadable Content,Steam Achievements","['English', 'Simplified Chinese']",,"Casual,Indie,Strategy",,3.99
